year,country,region,commodity,measure,value,unit
2015,France,Europe,Wheat,Production,7200000,tonnes
2016,France,Europe,Wheat,Production,7500000,tonnes
2017,France,Europe,Wheat,Production,7100000,tonnes
2018,France,Europe,Wheat,Production,7800000,tonnes
2019,France,Europe,Wheat,Production,7600000,tonnes
2020,France,Europe,Wheat,Production,7400000,tonnes
2021,France,Europe,Wheat,Production,8100000,tonnes
2022,France,Europe,Wheat,Production,7900000,tonnes
2015,Germany,Europe,Wheat,Production,13200000,tonnes
2016,Germany,Europe,Wheat,Production,13600000,tonnes
2017,Germany,Europe,Wheat,Production,12800000,tonnes
2018,Germany,Europe,Wheat,Production,14200000,tonnes
2019,Germany,Europe,Wheat,Production,14500000,tonnes
2020,Germany,Europe,Wheat,Production,14000000,tonnes
2021,Germany,Europe,Wheat,Production,15100000,tonnes
2022,Germany,Europe,Wheat,Production,14800000,tonnes
2015,Poland,Europe,Wheat,Production,9600000,tonnes
2016,Poland,Europe,Wheat,Production,10200000,tonnes
2017,Poland,Europe,Wheat,Production,9800000,tonnes
2018,Poland,Europe,Wheat,Production,10800000,tonnes
2019,Poland,Europe,Wheat,Production,11100000,tonnes
2020,Poland,Europe,Wheat,Production,10700000,tonnes
2021,Poland,Europe,Wheat,Production,11800000,tonnes
2022,Poland,Europe,Wheat,Production,11500000,tonnes
2015,Australia,Oceania,Wheat,Production,27200000,tonnes
2016,Australia,Oceania,Wheat,Production,26500000,tonnes
2017,Australia,Oceania,Wheat,Production,28100000,tonnes
2018,Australia,Oceania,Wheat,Production,29500000,tonnes
2019,Australia,Oceania,Wheat,Production,28800000,tonnes
2020,Australia,Oceania,Wheat,Production,29200000,tonnes
2021,Australia,Oceania,Wheat,Production,30100000,tonnes
2022,Australia,Oceania,Wheat,Production,31500000,tonnes
2015,USA,North America,Wheat,Production,55100000,tonnes
2016,USA,North America,Wheat,Production,54200000,tonnes
2017,USA,North America,Wheat,Production,56800000,tonnes
2018,USA,North America,Wheat,Production,58300000,tonnes
2019,USA,North America,Wheat,Production,57500000,tonnes
2020,USA,North America,Wheat,Production,57900000,tonnes
2021,USA,North America,Wheat,Production,59200000,tonnes
2022,USA,North America,Wheat,Production,61500000,tonnes
